ID missa,Paróquia,Arquidiocese,Decanato,Cidade,Dia,Horário,Observação
91,PARÓQUIA NOSSA SENHORA RAINHA DOS APÓSTOLOS,Londrina,Centro,Londrina,Domingo,16h00,Em latim
92,PARÓQUIA NOSSA SENHORA RAINHA DOS APÓSTOLOS,Londrina,Centro,Londrina,Domingo,19h00,
93,PARÓQUIA SANT'ANA,Londrina,Centro,Londrina,Segunda,07h00,
94,PARÓQUIA SANT'ANA,Londrina,Centro,Londrina,Terça,07h00,
95,PARÓQUIA SANT'ANA,Londrina,Centro,Londrina,Quarta,19h00,
96,PARÓQUIA SANT'ANA,Londrina,Centro,Londrina,Quinta,07h00,
97,PARÓQUIA SANT'ANA,Londrina,Centro,Londrina,Sexta,07h00,
98,PARÓQUIA SANT'ANA,Londrina,Centro,Londrina,Domingo,09h30,
99,PARÓQUIA SANT'ANA,Londrina,Centro,Londrina,Domingo,11h30,
100,PARÓQUIA SANT'ANA,Londrina,Centro,Londrina,Domingo,19h00,
101,PARÓQUIA SÃO VICENTE DE PAULO,Londrina,Centro,Londrina,Quarta,19h00,
102,PARÓQUIA SÃO VICENTE DE PAULO,Londrina,Centro,Londrina,Quinta,19h00,
103,PARÓQUIA SÃO VICENTE DE PAULO,Londrina,Centro,Londrina,Sexta,19h00,
104,PARÓQUIA SÃO VICENTE DE PAULO,Londrina,Centro,Londrina,Sábado,19h00,
105,PARÓQUIA SÃO VICENTE DE PAULO,Londrina,Centro,Londrina,Domingo,08h00,
106,PARÓQUIA SÃO VICENTE DE PAULO,Londrina,Centro,Londrina,Domingo,10h00,
107,PARÓQUIA SÃO VICENTE DE PAULO,Londrina,Centro,Londrina,Domingo,19h00,
108,PARÓQUIA NOSSA SENHORA DA PAZ,Londrina,Leste,Londrina,Segunda,19h30,
109,PARÓQUIA NOSSA SENHORA DA PAZ,Londrina,Leste,Londrina,Terça,19h30,
110,PARÓQUIA NOSSA SENHORA DA PAZ,Londrina,Leste,Londrina,Quarta,19h30,
111,PARÓQUIA NOSSA SENHORA DA PAZ,Londrina,Leste,Londrina,Quinta,16h00,
112,PARÓQUIA NOSSA SENHORA DA PAZ,Londrina,Leste,Londrina,Sexta,19h30,
113,PARÓQUIA NOSSA SENHORA DA PAZ,Londrina,Leste,Londrina,Sábado,19h00,
114,PARÓQUIA NOSSA SENHORA DA PAZ,Londrina,Leste,Londrina,Domingo,09h00,
115,PARÓQUIA NOSSA SENHORA DA PAZ,Londrina,Leste,Londrina,Domingo,19h00,
116,PARÓQUIA NOSSA SENHORA DE FÁTIMA,Londrina,Leste,Londrina,Quarta,19h30,
117,PARÓQUIA NOSSA SENHORA DE FÁTIMA,Londrina,Leste,Londrina,Quinta,16h00,
118,PARÓQUIA NOSSA SENHORA DE FÁTIMA,Londrina,Leste,Londrina,Sexta,19h30,
119,PARÓQUIA NOSSA SENHORA DE FÁTIMA,Londrina,Leste,Londrina,Sábado,19h30,
120,PARÓQUIA NOSSA SENHORA DE FÁTIMA,Londrina,Leste,Londrina,Domingo,07h30,
121,PARÓQUIA NOSSA SENHORA DE FÁTIMA,Londrina,Leste,Londrina,Domingo,09h30,
122,PARÓQUIA NOSSA SENHORA DE FÁTIMA,Londrina,Leste,Londrina,Domingo,19h00,
123,PARÓQUIA NOSSA SENHORA DE LOURDES,Londrina,Leste,Londrina,Segunda,19h00,
124,PARÓQUIA NOSSA SENHORA DE LOURDES,Londrina,Leste,Londrina,Terça,19h00,
125,PARÓQUIA NOSSA SENHORA DE LOURDES,Londrina,Leste,Londrina,Quarta,19h00,
126,PARÓQUIA NOSSA SENHORA DE LOURDES,Londrina,Leste,Londrina,Sexta,19h00,
127,PARÓQUIA NOSSA SENHORA DE LOURDES,Londrina,Leste,Londrina,Sábado,18h30,
128,PARÓQUIA NOSSA SENHORA DE LOURDES,Londrina,Leste,Londrina,Domingo,07h00,
129,PARÓQUIA NOSSA SENHORA DE LOURDES,Londrina,Leste,Londrina,Domingo,09h00,
130,PARÓQUIA NOSSA SENHORA DE LOURDES,Londrina,Leste,Londrina,Domingo,18h30,
131,PARÓQUIA NOSSA SENHORA DO AMPARO,Londrina,Leste,Londrina,,,
132,PARÓQUIA NOSSA SENHORA DO PERPÉTUO SOCORRO,Londrina,Leste,Londrina,Quarta,19h30,
133,PARÓQUIA NOSSA SENHORA DO PERPÉTUO SOCORRO,Londrina,Leste,Londrina,Sábado,19h00,
134,PARÓQUIA NOSSA SENHORA DO PERPÉTUO SOCORRO,Londrina,Leste,Londrina,Domingo,08h00,
135,PARÓQUIA NOSSA SENHORA DO ROCIO,Londrina,Leste,Londrina,Segunda,19h00,
136,PARÓQUIA NOSSA SENHORA DO ROCIO,Londrina,Leste,Londrina,Terça,19h00,
137,PARÓQUIA NOSSA SENHORA DO ROCIO,Londrina,Leste,Londrina,Quarta,19h00,
138,PARÓQUIA NOSSA SENHORA DO ROCIO,Londrina,Leste,Londrina,Quinta,19h00,
139,PARÓQUIA NOSSA SENHORA DO ROCIO,Londrina,Leste,Londrina,Sexta,19h00,
140,PARÓQUIA NOSSA SENHORA DO ROCIO,Londrina,Leste,Londrina,Sábado,18h30,
141,PARÓQUIA NOSSA SENHORA DO ROCIO,Londrina,Leste,Londrina,Domingo,09h00,
142,PARÓQUIA NOSSA SENHORA DO ROCIO,Londrina,Leste,Londrina,Domingo,11h00,
143,PARÓQUIA NOSSA SENHORA DO ROCIO,Londrina,Leste,Londrina,Domingo,18h30,
144,PARÓQUIA NOSSA SENHORA DO ROSÁRIO,Londrina,Leste,Londrina,Domingo,08h00,
145,PARÓQUIA NOSSA SENHORA DO ROSÁRIO,Londrina,Leste,Londrina,Domingo,19h00,
146,SANTUÁRIO SANTA RITA DE CÁSSIA,Londrina,Leste,Londrina,Segunda,19h30,Missa com Novena de Santa Rita
147,SANTUÁRIO SANTA RITA DE CÁSSIA,Londrina,Leste,Londrina,Terça,06h30,
148,SANTUÁRIO SANTA RITA DE CÁSSIA,Londrina,Leste,Londrina,Quarta,19h30,Missa com Novena de Santa Rita
149,SANTUÁRIO SANTA RITA DE CÁSSIA,Londrina,Leste,Londrina,Quinta,06h30,
150,SANTUÁRIO SANTA RITA DE CÁSSIA,Londrina,Leste,Londrina,Sexta,15h00,Missa do Sagrado Coração de Jesus
151,SANTUÁRIO SANTA RITA DE CÁSSIA,Londrina,Leste,Londrina,Sexta,19h30,
152,SANTUÁRIO SANTA RITA DE CÁSSIA,Londrina,Leste,Londrina,Sábado,12h00,Missa Mariana
153,SANTUÁRIO SANTA RITA DE CÁSSIA,Londrina,Leste,Londrina,Sábado,19h00,
154,SANTUÁRIO SANTA RITA DE CÁSSIA,Londrina,Leste,Londrina,Domingo,10h00,
155,SANTUÁRIO SANTA RITA DE CÁSSIA,Londrina,Leste,Londrina,Domingo,17h00,Missa do Romeiro
156,SANTUÁRIO SANTA RITA DE CÁSSIA,Londrina,Leste,Londrina,Domingo,19h00,
157,SANTUÁRIO SANTA RITA DE CÁSSIA,Londrina,Leste,Londrina,Todo dia 22,06h00,Dia Devocional
158,SANTUÁRIO SANTA RITA DE CÁSSIA,Londrina,Leste,Londrina,Todo dia 22,12h00,Dia Devocional
159,SANTUÁRIO SANTA RITA DE CÁSSIA,Londrina,Leste,Londrina,Todo dia 22,15h00,Dia Devocional (Unção dos Enfermos)
160,SANTUÁRIO SANTA RITA DE CÁSSIA,Londrina,Leste,Londrina,Todo dia 22,19h00,Dia Devocional
